ID,Store,Payment Method,Customer Type,Shopping Day,Amount Spent,Items Purchased,Time Spent (min),Spend per Item,Shopping Summary
1,MegaShop,Gift Card,New,Weekday,18.93,5,25.27,3.79,MegaShop | New Customer | Spent: $18.93
2,DiscountStore,Gift Card,New,Weekday,27.11,3,34.02,9.04,DiscountStore | New Customer | Spent: $27.11
3,GroceryWorld,Gift Card,Returning,Weekday,37.0,3,40.73,12.33,GroceryWorld | Returning Customer | Spent: $37.0
4,DiscountStore,Gift Card,Returning,Weekday,20.08,3,29.23,6.69,DiscountStore | Returning Customer | Spent: $20.08
5,DiscountStore,Gift Card,New,Weekend,6.23,5,30.24,1.25,DiscountStore | New Customer | Spent: $6.23
6,QuickBuy,Credit Card,Loyal,Weekday,31.2,5,32.15,6.24,QuickBuy | Loyal Customer | Spent: $31.2
7,GroceryWorld,Gift Card,New,Weekday,18.65,4,22.26,4.66,GroceryWorld | New Customer | Spent: $18.65
8,GroceryWorld,Credit Card,Returning,Weekday,13.1,4,16.12,3.28,GroceryWorld | Returning Customer | Spent: $13.1
9,GroceryWorld,Gift Card,Returning,Weekend,18.76,2,3.67,9.38,GroceryWorld | Returning Customer | Spent: $18.76
10,DiscountStore,Mobile Payment,Loyal,Weekday,23.15,6,19.57,3.86,DiscountStore | Loyal Customer | Spent: $23.15
11,MegaShop,Cash,Returning,Weekday,18.95,3,37.1,6.32,MegaShop | Returning Customer | Spent: $18.95
12,GroceryWorld,Credit Card,Loyal,Weekend,2.94,2,19.46,1.47,GroceryWorld | Loyal Customer | Spent: $2.94
13,DiscountStore,Gift Card,New,Weekday,33.97,6,26.43,5.66,DiscountStore | New Customer | Spent: $33.97
14,QuickBuy,Mobile Payment,Loyal,Weekday,37.75,4,37.0,9.44,QuickBuy | Loyal Customer | Spent: $37.75
15,MegaShop,Cash,New,Weekday,31.52,3,37.81,10.51,MegaShop | New Customer | Spent: $31.52
16,QuickBuy,Credit Card,Loyal,Weekend,13.62,3,13.81,4.54,QuickBuy | Loyal Customer | Spent: $13.62
17,MegaShop,Cash,Returning,Weekday,22.99,6,44.96,3.83,MegaShop | Returning Customer | Spent: $22.99
18,DiscountStore,Mobile Payment,Loyal,Weekend,24.93,4,46.91,6.23,DiscountStore | Loyal Customer | Spent: $24.93
19,SuperMart,Credit Card,Returning,Weekend,30.99,2,13.05,15.49,SuperMart | Returning Customer | Spent: $30.99
20,MegaShop,Cash,Returning,Weekday,31.68,1,17.64,31.68,MegaShop | Returning Customer | Spent: $31.68
21,QuickBuy,Gift Card,Returning,Weekday,17.66,3,47.87,5.89,QuickBuy | Returning Customer | Spent: $17.66
22,DiscountStore,Credit Card,Returning,Weekday,25.82,4,27.8,6.45,DiscountStore | Returning Customer | Spent: $25.82
23,MegaShop,Cash,New,Weekday,29.57,5,-3.3,5.91,MegaShop | New Customer | Spent: $29.57
24,SuperMart,Mobile Payment,New,Weekday,39.56,6,9.0,6.59,SuperMart | New Customer | Spent: $39.56
25,SuperMart,Mobile Payment,New,Weekend,32.05,2,26.26,16.02,SuperMart | New Customer | Spent: $32.05
26,GroceryWorld,Credit Card,New,Weekend,32.89,4,12.55,8.22,GroceryWorld | New Customer | Spent: $32.89
27,GroceryWorld,Cash,Loyal,Weekend,25.84,4,23.8,6.46,GroceryWorld | Loyal Customer | Spent: $25.84
28,QuickBuy,Credit Card,New,Weekday,39.1,0,30.49,0.0,QuickBuy | New Customer | Spent: $39.1
29,MegaShop,Credit Card,Loyal,Weekend,29.1,4,51.93,7.27,MegaShop | Loyal Customer | Spent: $29.1
30,MegaShop,Cash,New,Weekend,16.39,5,25.64,3.28,MegaShop | New Customer | Spent: $16.39
31,GroceryWorld,Cash,New,Weekend,39.03,2,46.09,19.52,GroceryWorld | New Customer | Spent: $39.03
32,MegaShop,Gift Card,Returning,Weekday,31.98,5,51.43,6.4,MegaShop | Returning Customer | Spent: $31.98
33,MegaShop,Cash,Returning,Weekend,20.57,4,51.51,5.14,MegaShop | Returning Customer | Spent: $20.57
34,SuperMart,Mobile Payment,Returning,Weekday,20.21,5,34.27,4.04,SuperMart | Returning Customer | Spent: $20.21
35,GroceryWorld,Credit Card,Returning,Weekday,27.97,2,0.55,13.98,GroceryWorld | Returning Customer | Spent: $27.97
36,DiscountStore,Credit Card,Returning,Weekday,29.63,2,36.91,14.82,DiscountStore | Returning Customer | Spent: $29.63
37,GroceryWorld,Mobile Payment,New,Weekend,26.97,0,45.73,0.0,GroceryWorld | New Customer | Spent: $26.97
38,DiscountStore,Cash,Loyal,Weekend,28.11,4,28.78,7.03,DiscountStore | Loyal Customer | Spent: $28.11
39,SuperMart,Mobile Payment,Loyal,Weekday,42.0,1,56.17,42.0,SuperMart | Loyal Customer | Spent: $42.0
40,QuickBuy,Mobile Payment,Returning,Weekday,35.72,2,42.9,17.86,QuickBuy | Returning Customer | Spent: $35.72
41,MegaShop,Gift Card,New,Weekday,26.91,3,38.52,8.97,MegaShop | New Customer | Spent: $26.91
42,SuperMart,Mobile Payment,Returning,Weekday,34.41,2,46.3,17.21,SuperMart | Returning Customer | Spent: $34.41
43,MegaShop,Credit Card,New,Weekday,14.67,2,35.0,7.34,MegaShop | New Customer | Spent: $14.67
44,QuickBuy,Mobile Payment,New,Weekday,28.98,1,-7.39,28.98,QuickBuy | New Customer | Spent: $28.98
45,QuickBuy,Credit Card,New,Weekend,43.09,3,22.51,14.36,QuickBuy | New Customer | Spent: $43.09
46,SuperMart,Credit Card,Returning,Weekday,22.82,4,47.96,5.7,SuperMart | Returning Customer | Spent: $22.82
47,QuickBuy,Credit Card,Loyal,Weekday,16.52,6,17.89,2.75,QuickBuy | Loyal Customer | Spent: $16.52
48,DiscountStore,Cash,Returning,Weekday,18.48,3,26.65,6.16,DiscountStore | Returning Customer | Spent: $18.48
49,QuickBuy,Gift Card,Returning,Weekend,14.1,2,14.33,7.05,QuickBuy | Returning Customer | Spent: $14.1
50,MegaShop,Credit Card,Returning,Weekend,17.15,3,56.76,5.72,MegaShop | Returning Customer | Spent: $17.15
51,MegaShop,Credit Card,New,Weekend,21.29,1,55.22,21.29,MegaShop | New Customer | Spent: $21.29
52,MegaShop,Cash,New,Weekday,10.94,2,16.74,5.47,MegaShop | New Customer | Spent: $10.94
53,MegaShop,Credit Card,Loyal,Weekday,25.16,1,32.21,25.16,MegaShop | Loyal Customer | Spent: $25.16
54,DiscountStore,Mobile Payment,New,Weekday,34.02,3,19.79,11.34,DiscountStore | New Customer | Spent: $34.02
55,GroceryWorld,Mobile Payment,Loyal,Weekend,15.92,4,39.22,3.98,GroceryWorld | Loyal Customer | Spent: $15.92
56,SuperMart,Gift Card,Returning,Weekend,40.19,2,37.65,20.1,SuperMart | Returning Customer | Spent: $40.19
57,MegaShop,Credit Card,Returning,Weekend,30.11,2,42.18,15.05,MegaShop | Returning Customer | Spent: $30.11
58,QuickBuy,Cash,Returning,Weekend,35.31,3,34.98,11.77,QuickBuy | Returning Customer | Spent: $35.31
59,MegaShop,Mobile Payment,Returning,Weekend,18.42,2,74.03,9.21,MegaShop | Returning Customer | Spent: $18.42
60,QuickBuy,Cash,Loyal,Weekday,33.55,2,14.58,16.77,QuickBuy | Loyal Customer | Spent: $33.55
61,QuickBuy,Cash,Loyal,Weekend,14.08,3,4.34,4.69,QuickBuy | Loyal Customer | Spent: $14.08
62,MegaShop,Mobile Payment,Returning,Weekday,33.9,1,24.1,33.9,MegaShop | Returning Customer | Spent: $33.9
63,DiscountStore,Cash,New,Weekday,26.72,6,6.48,4.45,DiscountStore | New Customer | Spent: $26.72
64,QuickBuy,Mobile Payment,Returning,Weekday,30.53,2,7.61,15.27,QuickBuy | Returning Customer | Spent: $30.53
65,QuickBuy,Cash,Loyal,Weekday,13.24,2,14.98,6.62,QuickBuy | Loyal Customer | Spent: $13.24
66,MegaShop,Mobile Payment,New,Weekday,16.05,2,16.17,8.02,MegaShop | New Customer | Spent: $16.05
67,QuickBuy,Credit Card,Returning,Weekday,30.97,4,15.68,7.74,QuickBuy | Returning Customer | Spent: $30.97
68,QuickBuy,Gift Card,Returning,Weekday,15.52,1,37.77,15.52,QuickBuy | Returning Customer | Spent: $15.52
69,MegaShop,Mobile Payment,Returning,Weekday,29.63,2,22.41,14.82,MegaShop | Returning Customer | Spent: $29.63
70,MegaShop,Mobile Payment,New,Weekday,11.33,4,27.31,2.83,MegaShop | New Customer | Spent: $11.33
71,SuperMart,Gift Card,Returning,Weekday,33.48,3,43.41,11.16,SuperMart | Returning Customer | Spent: $33.48
72,DiscountStore,Mobile Payment,Loyal,Weekday,12.67,3,18.51,4.22,DiscountStore | Loyal Customer | Spent: $12.67
73,DiscountStore,Mobile Payment,New,Weekday,30.52,3,26.03,10.17,DiscountStore | New Customer | Spent: $30.52
74,QuickBuy,Cash,New,Weekend,31.26,6,35.49,5.21,QuickBuy | New Customer | Spent: $31.26
75,DiscountStore,Gift Card,Loyal,Weekend,18.03,3,0.88,6.01,DiscountStore | Loyal Customer | Spent: $18.03
76,QuickBuy,Credit Card,New,Weekend,30.82,3,-5.77,10.27,QuickBuy | New Customer | Spent: $30.82
77,SuperMart,Mobile Payment,Loyal,Weekend,27.6,1,35.19,27.6,SuperMart | Loyal Customer | Spent: $27.6
78,MegaShop,Gift Card,Returning,Weekday,19.61,2,37.38,9.81,MegaShop | Returning Customer | Spent: $19.61
79,MegaShop,Cash,New,Weekend,14.91,4,60.96,3.73,MegaShop | New Customer | Spent: $14.91
80,MegaShop,Credit Card,Loyal,Weekday,5.37,3,32.37,1.79,MegaShop | Loyal Customer | Spent: $5.37
81,DiscountStore,Gift Card,Returning,Weekday,28.5,3,42.3,9.5,DiscountStore | Returning Customer | Spent: $28.5
82,SuperMart,Credit Card,Returning,Weekend,9.35,2,27.07,4.68,SuperMart | Returning Customer | Spent: $9.35
83,DiscountStore,Credit Card,New,Weekday,25.95,3,34.46,8.65,DiscountStore | New Customer | Spent: $25.95
84,DiscountStore,Credit Card,Returning,Weekend,22.37,1,55.01,22.37,DiscountStore | Returning Customer | Spent: $22.37
85,SuperMart,Mobile Payment,New,Weekend,31.79,2,-1.86,15.9,SuperMart | New Customer | Spent: $31.79
86,SuperMart,Mobile Payment,New,Weekend,21.98,2,36.2,10.99,SuperMart | New Customer | Spent: $21.98
87,SuperMart,Cash,Loyal,Weekend,21.71,3,62.03,7.24,SuperMart | Loyal Customer | Spent: $21.71
88,SuperMart,Cash,New,Weekday,32.32,5,34.23,6.46,SuperMart | New Customer | Spent: $32.32
89,MegaShop,Gift Card,Returning,Weekday,28.35,3,54.76,9.45,MegaShop | Returning Customer | Spent: $28.35
90,GroceryWorld,Cash,New,Weekday,28.16,6,20.56,4.69,GroceryWorld | New Customer | Spent: $28.16
91,GroceryWorld,Credit Card,Returning,Weekday,29.69,2,29.52,14.85,GroceryWorld | Returning Customer | Spent: $29.69
92,SuperMart,Credit Card,New,Weekend,9.64,5,30.5,1.93,SuperMart | New Customer | Spent: $9.64
93,GroceryWorld,Mobile Payment,Loyal,Weekend,32.57,6,-3.26,5.43,GroceryWorld | Loyal Customer | Spent: $32.57
94,GroceryWorld,Credit Card,Returning,Weekend,31.12,6,12.48,5.19,GroceryWorld | Returning Customer | Spent: $31.12
95,SuperMart,Gift Card,New,Weekday,14.83,3,13.55,4.94,SuperMart | New Customer | Spent: $14.83
96,GroceryWorld,Credit Card,New,Weekday,22.56,4,42.33,5.64,GroceryWorld | New Customer | Spent: $22.56
97,DiscountStore,Credit Card,New,Weekday,24.61,3,43.08,8.2,DiscountStore | New Customer | Spent: $24.61
98,QuickBuy,Gift Card,Returning,Weekday,23.66,2,34.86,11.83,QuickBuy | Returning Customer | Spent: $23.66
99,QuickBuy,Cash,New,Weekend,28.34,5,42.36,5.67,QuickBuy | New Customer | Spent: $28.34
100,SuperMart,Cash,Loyal,Weekday,39.31,4,27.54,9.83,SuperMart | Loyal Customer | Spent: $39.31
101,MegaShop,Gift Card,Returning,Weekday,35.82,2,48.03,17.91,MegaShop | Returning Customer | Spent: $35.82
102,SuperMart,Mobile Payment,New,Weekday,11.88,0,30.13,0.0,SuperMart | New Customer | Spent: $11.88
103,MegaShop,Credit Card,Returning,Weekend,31.22,0,30.87,0.0,MegaShop | Returning Customer | Spent: $31.22
104,QuickBuy,Gift Card,Returning,Weekend,38.29,5,26.02,7.66,QuickBuy | Returning Customer | Spent: $38.29
105,SuperMart,Credit Card,New,Weekday,28.87,6,40.27,4.81,SuperMart | New Customer | Spent: $28.87
106,DiscountStore,Mobile Payment,New,Weekday,35.91,1,23.68,35.91,DiscountStore | New Customer | Spent: $35.91
107,GroceryWorld,Credit Card,New,Weekday,45.12,2,44.65,22.56,GroceryWorld | New Customer | Spent: $45.12
108,MegaShop,Gift Card,Returning,Weekday,35.24,5,13.02,7.05,MegaShop | Returning Customer | Spent: $35.24
109,GroceryWorld,Credit Card,Returning,Weekend,27.49,4,13.52,6.87,GroceryWorld | Returning Customer | Spent: $27.49
110,GroceryWorld,Cash,Returning,Weekend,35.45,3,40.31,11.82,GroceryWorld | Returning Customer | Spent: $35.45
111,SuperMart,Mobile Payment,Loyal,Weekday,26.45,2,28.67,13.22,SuperMart | Loyal Customer | Spent: $26.45
112,GroceryWorld,Mobile Payment,Loyal,Weekday,25.24,0,23.19,0.0,GroceryWorld | Loyal Customer | Spent: $25.24
113,DiscountStore,Mobile Payment,Returning,Weekend,21.49,4,43.35,5.37,DiscountStore | Returning Customer | Spent: $21.49
114,GroceryWorld,Gift Card,Loyal,Weekday,40.63,5,20.89,8.13,GroceryWorld | Loyal Customer | Spent: $40.63
115,SuperMart,Mobile Payment,New,Weekend,16.82,2,27.0,8.41,SuperMart | New Customer | Spent: $16.82
116,DiscountStore,Cash,New,Weekday,40.32,3,50.99,13.44,DiscountStore | New Customer | Spent: $40.32
117,QuickBuy,Gift Card,New,Weekday,30.0,7,53.09,4.29,QuickBuy | New Customer | Spent: $30.0
118,GroceryWorld,Cash,New,Weekday,11.01,5,53.59,2.2,GroceryWorld | New Customer | Spent: $11.01
119,SuperMart,Credit Card,Returning,Weekday,28.68,3,25.77,9.56,SuperMart | Returning Customer | Spent: $28.68
120,QuickBuy,Credit Card,Loyal,Weekend,4.0,1,48.46,4.0,QuickBuy | Loyal Customer | Spent: $4.0
121,QuickBuy,Credit Card,New,Weekday,31.26,3,15.77,10.42,QuickBuy | New Customer | Spent: $31.26
122,MegaShop,Credit Card,New,Weekday,33.85,4,16.4,8.46,MegaShop | New Customer | Spent: $33.85
123,DiscountStore,Cash,Returning,Weekday,19.08,1,-5.26,19.08,DiscountStore | Returning Customer | Spent: $19.08
124,GroceryWorld,Gift Card,Loyal,Weekday,26.24,3,55.09,8.75,GroceryWorld | Loyal Customer | Spent: $26.24
125,SuperMart,Gift Card,New,Weekday,44.54,3,17.04,14.85,SuperMart | New Customer | Spent: $44.54
126,MegaShop,Mobile Payment,Returning,Weekday,19.94,4,28.1,4.99,MegaShop | Returning Customer | Spent: $19.94
127,DiscountStore,Cash,New,Weekend,14.41,1,16.35,14.41,DiscountStore | New Customer | Spent: $14.41
128,MegaShop,Credit Card,New,Weekday,39.82,2,40.43,19.91,MegaShop | New Customer | Spent: $39.82
129,DiscountStore,Cash,Loyal,Weekday,44.63,3,24.37,14.88,DiscountStore | Loyal Customer | Spent: $44.63
130,DiscountStore,Mobile Payment,Loyal,Weekend,25.04,2,10.43,12.52,DiscountStore | Loyal Customer | Spent: $25.04
131,GroceryWorld,Mobile Payment,New,Weekday,35.11,1,36.62,35.11,GroceryWorld | New Customer | Spent: $35.11
132,DiscountStore,Cash,Loyal,Weekend,38.41,1,8.49,38.41,DiscountStore | Loyal Customer | Spent: $38.41
133,MegaShop,Cash,Returning,Weekday,17.58,3,17.44,5.86,MegaShop | Returning Customer | Spent: $17.58
134,DiscountStore,Cash,Loyal,Weekend,20.15,0,-1.6,0.0,DiscountStore | Loyal Customer | Spent: $20.15
135,GroceryWorld,Gift Card,Returning,Weekend,37.31,3,8.64,12.44,GroceryWorld | Returning Customer | Spent: $37.31
136,GroceryWorld,Credit Card,Returning,Weekend,41.85,1,32.68,41.85,GroceryWorld | Returning Customer | Spent: $41.85
137,MegaShop,Cash,Returning,Weekend,30.63,1,0.53,30.63,MegaShop | Returning Customer | Spent: $30.63
138,QuickBuy,Cash,Returning,Weekday,16.2,7,7.78,2.31,QuickBuy | Returning Customer | Spent: $16.2
139,QuickBuy,Cash,New,Weekend,44.87,3,29.96,14.96,QuickBuy | New Customer | Spent: $44.87
140,DiscountStore,Mobile Payment,New,Weekday,19.69,2,21.85,9.85,DiscountStore | New Customer | Spent: $19.69
141,SuperMart,Mobile Payment,New,Weekday,21.65,4,59.88,5.41,SuperMart | New Customer | Spent: $21.65
142,DiscountStore,Gift Card,Returning,Weekday,28.42,4,57.51,7.11,DiscountStore | Returning Customer | Spent: $28.42
143,MegaShop,Credit Card,New,Weekday,40.54,0,16.98,0.0,MegaShop | New Customer | Spent: $40.54
144,MegaShop,Gift Card,Returning,Weekday,33.54,3,38.36,11.18,MegaShop | Returning Customer | Spent: $33.54
145,MegaShop,Credit Card,Loyal,Weekday,29.15,3,41.24,9.72,MegaShop | Loyal Customer | Spent: $29.15
146,MegaShop,Mobile Payment,New,Weekday,29.63,7,21.04,4.23,MegaShop | New Customer | Spent: $29.63
147,MegaShop,Mobile Payment,Returning,Weekend,25.44,3,7.57,8.48,MegaShop | Returning Customer | Spent: $25.44
148,GroceryWorld,Mobile Payment,Returning,Weekend,30.58,2,29.82,15.29,GroceryWorld | Returning Customer | Spent: $30.58
149,QuickBuy,Gift Card,Loyal,Weekday,-0.3,4,27.41,-0.07,QuickBuy | Loyal Customer | Spent: $-0.3
150,MegaShop,Cash,New,Weekday,22.03,2,23.46,11.02,MegaShop | New Customer | Spent: $22.03
151,SuperMart,Cash,Returning,Weekday,27.41,2,36.63,13.71,SuperMart | Returning Customer | Spent: $27.41
152,SuperMart,Mobile Payment,Loyal,Weekday,13.49,3,18.74,4.5,SuperMart | Loyal Customer | Spent: $13.49
153,SuperMart,Cash,Loyal,Weekday,28.86,0,12.72,0.0,SuperMart | Loyal Customer | Spent: $28.86
154,SuperMart,Cash,Returning,Weekday,22.96,0,31.64,0.0,SuperMart | Returning Customer | Spent: $22.96
155,GroceryWorld,Gift Card,Returning,Weekday,42.55,3,35.79,14.18,GroceryWorld | Returning Customer | Spent: $42.55
156,SuperMart,Credit Card,Returning,Weekend,40.73,4,12.35,10.18,SuperMart | Returning Customer | Spent: $40.73
157,MegaShop,Mobile Payment,Loyal,Weekday,20.34,6,43.92,3.39,MegaShop | Loyal Customer | Spent: $20.34
158,DiscountStore,Mobile Payment,Returning,Weekday,23.49,4,3.44,5.87,DiscountStore | Returning Customer | Spent: $23.49
159,SuperMart,Gift Card,New,Weekday,24.26,2,21.33,12.13,SuperMart | New Customer | Spent: $24.26
160,GroceryWorld,Gift Card,Loyal,Weekday,20.48,2,26.13,10.24,GroceryWorld | Loyal Customer | Spent: $20.48
161,GroceryWorld,Cash,Returning,Weekday,26.95,8,20.46,3.37,GroceryWorld | Returning Customer | Spent: $26.95
162,SuperMart,Mobile Payment,Returning,Weekend,17.42,4,21.52,4.35,SuperMart | Returning Customer | Spent: $17.42
163,DiscountStore,Credit Card,New,Weekday,13.69,3,58.07,4.56,DiscountStore | New Customer | Spent: $13.69
164,SuperMart,Gift Card,Returning,Weekday,31.23,1,17.24,31.23,SuperMart | Returning Customer | Spent: $31.23
165,GroceryWorld,Credit Card,New,Weekend,31.3,2,66.62,15.65,GroceryWorld | New Customer | Spent: $31.3
166,QuickBuy,Credit Card,Returning,Weekend,16.96,1,36.56,16.96,QuickBuy | Returning Customer | Spent: $16.96
167,MegaShop,Mobile Payment,New,Weekend,33.95,3,31.38,11.32,MegaShop | New Customer | Spent: $33.95
168,GroceryWorld,Mobile Payment,Returning,Weekday,18.68,4,37.14,4.67,GroceryWorld | Returning Customer | Spent: $18.68
169,SuperMart,Gift Card,Loyal,Weekend,27.53,0,67.95,0.0,SuperMart | Loyal Customer | Spent: $27.53
170,MegaShop,Mobile Payment,New,Weekday,33.2,2,15.1,16.6,MegaShop | New Customer | Spent: $33.2
171,SuperMart,Mobile Payment,Loyal,Weekday,24.66,5,13.19,4.93,SuperMart | Loyal Customer | Spent: $24.66
172,SuperMart,Mobile Payment,Returning,Weekday,29.55,5,18.68,5.91,SuperMart | Returning Customer | Spent: $29.55
173,QuickBuy,Credit Card,Loyal,Weekday,19.84,3,30.48,6.61,QuickBuy | Loyal Customer | Spent: $19.84
174,MegaShop,Gift Card,Returning,Weekday,23.04,1,4.11,23.04,MegaShop | Returning Customer | Spent: $23.04
175,MegaShop,Cash,Returning,Weekday,22.94,3,30.34,7.65,MegaShop | Returning Customer | Spent: $22.94
176,QuickBuy,Credit Card,Returning,Weekend,17.53,2,55.4,8.77,QuickBuy | Returning Customer | Spent: $17.53
177,GroceryWorld,Mobile Payment,Loyal,Weekend,23.23,5,32.27,4.65,GroceryWorld | Loyal Customer | Spent: $23.23
178,SuperMart,Credit Card,Returning,Weekend,9.51,1,25.61,9.51,SuperMart | Returning Customer | Spent: $9.51
179,DiscountStore,Mobile Payment,New,Weekday,20.09,3,20.73,6.7,DiscountStore | New Customer | Spent: $20.09
180,SuperMart,Mobile Payment,Returning,Weekend,22.15,3,43.48,7.38,SuperMart | Returning Customer | Spent: $22.15
